pais_codigo,pais_nombre,anio,crecimiento_pib_pct,pib_per_capita_usd,crecimiento_pib_pc_pct,inflacion_pct,desempleo_pct,exportaciones_pct_pib,importaciones_pct_pib,pib_usd,fecha_extraccion,region,es_colombia
MX,Mexico,2015,2.7023,10021.2386,1.6097,2.7206,,34.1628,36.2502,1213294467716.88,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2016,1.7725,9097.924,0.791,2.8217,,36.8157,38.8746,1112233497452.7,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2017,1.8717,9649.2782,0.9234,6.0415,,37.5141,39.438,1190721475906.0,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2018,1.9721,10084.7938,1.0114,4.8994,,39.0439,41.1687,1256300182879.73,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2019,-0.3927,10369.5554,-1.3346,3.636,,38.5297,38.9323,1304106203902.45,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2020,-8.354,8841.2708,-9.1029,3.3968,,39.2354,37.6192,1121064767308.42,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2021,6.0485,10314.0507,5.3431,5.6892,,40.5692,42.5001,1316569466685.95,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2022,3.7098,11405.794,2.9316,7.8963,,42.9323,45.8662,1466934724293.06,2026-03-04T15:35:21.731026,América Latina,False
MX,Mexico,2023,3.3535,13860.9598,2.456,5.528,,36.0694,37.5095,1798317581486.88,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2000,2.6944,1945.4134,1.1043,3.7573,4.959,,18.7697,51744749133.213,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2001,0.6179,1929.5727,-0.7488,1.9771,5.068,,18.463,52030158775.4055,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2002,5.4535,2007.3702,4.2029,0.1931,4.84,,17.9744,54777553515.0809,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2003,4.165,2129.4411,3.0612,2.2594,4.15,,18.6099,58731030121.8671,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2004,4.9582,2397.2515,3.9343,3.6625,4.71,,19.0238,66768703497.5687,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2005,6.2851,2706.6695,5.3433,1.6163,4.87,,20.5086,76060606060.6061,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2006,7.5289,3129.56,6.6811,2.0023,4.17,,21.2484,88643193061.748,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2007,8.5184,3581.0893,7.7341,1.78,4.08,,24.166,102170981144.136,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2008,9.1266,4197.5844,8.4109,5.7859,4.03,,28.7061,120550599815.441,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2009,1.0958,4181.1876,0.4739,2.9362,3.96,,21.6699,120822986521.479,2026-03-04T15:35:21.731026,América Latina,False
PE,Peru,2010,8.3325,5072.1149,7.6277,1.5283,3.6,,23.8466,147527631520.729,2026-03-04T15:35:21.731026,América Latina,False
