pais_codigo,pais_nombre,anio,pib_usd,crecimiento_pib_pct,pib_per_capita_usd,inflacion_pct,desempleo_pct,exportaciones_pct_pib,importaciones_pct_pib,fecha_extraccion,region,es_colombia
PE,Peru,2005,76060606060.6061,6.28506032509601,2706.66947297608,1.61630193862544,4.87,26.8487611117093,20.5085563651301,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2006,88643193061.748,7.5288990440594,3129.55996496982,2.00225801248819,4.17,30.536636453521,21.2484195803232,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2007,102170981144.136,8.5183877690955,3581.0893081917,1.77998644680372,4.08,31.5221165305465,24.165996753135,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2008,120550599815.441,9.1265683014642,4197.58444634142,5.78587598206755,4.03,29.7276302098838,28.7061371800215,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2009,120822986521.479,1.0958236592427,4181.18755462253,2.936231535967,3.96,26.4420527390278,21.669876876324,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2010,147527631520.729,8.33245910749577,5072.11494019615,1.52832059732901,3.6,27.8261641521747,23.8466447848286,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2011,171761737046.585,6.32719240161117,5861.35793645245,3.36931095333853,3.477,30.5027597563889,25.4855205274718,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2012,192650021648.583,6.13972470560435,6519.37852981527,3.61121294940163,3.238,27.4496143710972,25.1702808921321,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2013,201175543571.392,5.85251821084928,6746.80025696601,2.76789666082002,3.575,24.8082994208508,24.9788430262935,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2014,200786250582.943,2.38215737180541,6667.13410360861,3.41194579807465,3.208,22.6069703758151,24.2461507154749,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2015,189802976285.619,3.25224477218451,6231.71150338894,3.39809194746308,3.272,21.2873252858958,23.875443403219,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2016,191898104390.379,3.95331871520767,6217.03599995447,3.55717663556279,3.741,22.6003137409908,22.7885274554247,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2017,211007984080.911,2.51883544233135,6736.16693725487,2.99490045809443,3.691,24.7198719746973,22.7936783872998,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2018,222597009739.235,3.969351341365,6978.49121548627,1.50915423024742,3.492,25.1921846722472,23.4392854994888,2026-03-05T21:35:13.377882,América Latina,False
PE,Peru,2019,228346006003.648,2.24063176875049,7037.00803692604,2.25212191358027,3.379,24.0390874349068,22.9044179405342,2026-03-05T21:35:13.377882,América Latina,False
